cell_id,CD3D,CD3E,TRAC,IL7R,CCR7,GZMB,NKG7,PDCD1,LAG3,MS4A1,CD79A,CD79B,BANK1,MZB1,XBP1,JCHAIN,LYZ,LST1,S100A8,S100A9,FCN1,IL1B,TNF,MKI67,TOP2A,STMN1,ACTB,GAPDH,RPLP0,B2M,MALAT1
Cell_0198,12,8,8,0,0,6,3,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,7,5,7,5,1,2,4,4
Cell_0199,11,6,3,0,0,4,5,0,0,2,1,1,0,1,1,0,0,1,0,1,0,0,1,5,8,5,1,3,1,1,3
Cell_0200,5,7,2,0,1,4,5,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,3,1,5,3,3,3,2,4,3
Cell_0201,6,10,9,0,1,9,8,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,6,4,5,2,2,2,3,2
Cell_0202,2,4,5,0,0,7,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,4,3,0,0,0,2,2
Cell_0203,4,15,5,0,1,7,11,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,4,2,1,3,1,2,7
Cell_0204,6,5,1,1,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,4,1,4,4,0,0
Cell_0205,7,5,8,0,0,1,10,0,2,1,1,0,1,1,0,1,1,0,0,0,0,0,0,5,2,5,3,4,2,3,5
Cell_0206,2,3,4,0,0,6,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,3,0,1,3,1
Cell_0207,5,5,6,0,1,4,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,5,1,0,0,1,2,3
Cell_0208,6,2,4,0,1,5,6,1,1,2,1,2,0,2,1,0,0,0,0,0,0,0,1,4,4,2,0,2,2,3,1
Cell_0209,2,1,4,0,0,4,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,2,3,2,0,1,2,2,5
Cell_0210,4,4,2,1,0,3,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6,6,3,1,2,1,3,2
Cell_0211,5,2,4,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,1,1,2
Cell_0212,12,6,7,1,0,4,8,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,6,4,9,4,1,2,3,2
Cell_0213,10,5,9,0,1,9,5,1,0,0,2,1,0,0,0,0,0,0,2,0,0,0,1,11,1,8,1,2,6,7,5
Cell_0214,4,8,6,0,0,5,5,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,3,5,0,1,0,2,2
Cell_0215,5,4,5,0,0,4,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,2,2,3,3,2,2
Cell_0216,5,10,4,0,1,4,7,1,0,0,2,2,0,1,0,1,0,0,0,0,0,0,0,6,4,4,2,1,2,3,2
Cell_0217,6,4,2,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,2,0,0,2,1
Cell_0218,5,3,7,1,0,4,8,1,0,0,1,2,0,1,2,0,0,0,0,0,0,0,0,2,5,3,2,0,0,2,1
Cell_0219,9,8,13,1,0,4,10,2,1,0,1,0,0,0,1,1,0,2,0,0,0,0,0,8,6,3,1,5,3,3,4
Cell_0220,11,12,10,1,0,6,13,0,0,1,3,0,0,1,0,1,0,0,0,0,0,0,0,4,7,8,4,4,3,3,2
Cell_0221,3,3,2,0,0,6,1,1,1,0,3,1,0,1,0,0,1,0,1,0,0,0,0,3,1,3,1,0,1,0,1
Cell_0222,8,11,3,0,1,9,12,0,0,0,1,1,0,1,2,0,0,0,0,2,0,0,1,9,5,2,3,1,2,4,3
Cell_0223,3,3,2,0,0,1,4,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,2,3,2,1,1,2,1,1
Cell_0224,6,4,4,0,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,3,5,1,4,1,3,2
Cell_0225,13,7,9,0,1,13,15,0,0,2,0,1,0,0,1,1,0,0,1,1,0,0,0,5,9,7,2,4,4,1,5
Cell_0226,1,4,4,0,1,5,4,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,2,5,1,0,0,0,1
Cell_0227,4,5,3,0,1,4,7,0,0,0,0,1,0,0,1,2,0,1,0,0,0,0,2,1,4,3,1,3,0,1,1
Cell_0228,4,1,3,0,0,6,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,4,0,1,1,2,4
Cell_0229,4,2,3,0,0,2,6,1,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,2,3,1,2,1
Cell_0230,6,6,4,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,3,4,1,3,2,2,0
Cell_0231,8,5,8,0,0,10,5,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,11,7,2,3,5,2,5,6
Cell_0232,4,4,5,0,1,7,7,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,4,4,1,0,0,1,1,0
Cell_0233,5,4,9,0,0,3,5,1,0,1,3,0,1,0,1,1,0,1,0,0,0,0,0,6,3,7,2,1,4,3,2
Cell_0234,6,6,6,0,0,4,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,3,4,1,1,1,1,2,1
Cell_0235,7,2,4,0,0,1,9,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,6,4,5,0,1,2,1,1
Cell_0236,9,8,3,0,0,4,5,0,0,1,0,1,0,1,0,1,0,2,0,0,0,0,0,3,2,5,0,2,2,3,5
Cell_0237,5,9,5,0,0,4,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,8,7,4,1,2,2,4,1
Cell_0238,11,8,3,0,0,9,8,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,4,2,2,3,1,2,0,3
Cell_0239,2,2,3,0,0,5,9,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,3,2,2,3
Cell_0240,8,13,5,0,1,8,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,3,0,3,2,4,1
Cell_0241,6,13,7,0,0,4,16,0,0,0,2,0,0,0,1,0,0,0,0,2,0,0,1,13,6,3,4,2,7,4,4
Cell_0242,6,6,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,1,2,1,1,0
Cell_0243,11,8,11,0,0,5,5,0,0,1,2,0,0,1,3,0,0,0,0,0,0,0,2,5,2,3,1,1,4,5,2
Cell_0244,3,3,2,1,0,6,7,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,9,3,1,2,1,1,4,1
Cell_0245,5,3,3,0,0,4,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,2,0,3,2,1,2
Cell_0246,7,5,4,0,0,2,4,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,3,1,3,0,2,1,1
Cell_0247,5,3,4,0,0,5,2,0,1,0,1,1,0,1,1,0,0,0,2,1,0,0,1,5,4,6,2,2,0,3,1
Cell_0248,2,3,7,0,0,4,6,0,0,1,1,1,0,0,2,0,0,0,0,0,0,1,0,4,4,1,2,3,4,1,2
Cell_0249,6,11,10,0,2,8,8,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,7,4,6,5,0,0,5,3
Cell_0250,4,8,4,0,0,4,8,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,5,2,1,2,3,2,4,3
Cell_0251,5,11,6,0,0,8,10,0,1,0,2,2,0,0,1,3,0,0,0,0,0,0,1,7,3,2,2,1,0,2,2
Cell_0252,5,3,3,0,0,4,8,0,0,0,0,2,0,1,2,0,0,1,0,0,0,0,1,4,5,3,1,1,2,1,3
Cell_0253,8,2,4,1,0,5,7,0,0,1,1,2,0,0,1,0,0,2,1,0,0,0,0,7,3,8,5,4,3,0,4
Cell_0254,6,10,5,0,1,9,7,0,0,1,3,0,1,0,3,0,0,0,0,0,0,0,1,7,3,4,1,2,1,0,3
Cell_0255,9,9,9,0,0,4,5,0,0,0,2,1,0,1,2,1,0,0,0,0,0,0,1,8,3,5,2,2,1,5,3
Cell_0256,7,10,3,0,0,8,7,1,0,0,0,2,1,1,2,2,0,0,0,0,0,0,2,3,7,7,2,1,2,4,4
Cell_0257,1,3,3,0,0,7,7,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,1,3,5,2,2,0,2,2,0
Cell_0258,8,9,5,0,0,4,2,1,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,6,4,3,1,4,1,2,0
Cell_0259,11,12,5,0,1,6,7,0,0,2,1,3,0,0,1,0,0,0,0,1,0,0,2,8,8,6,3,5,2,3,3
Cell_0260,5,4,6,0,0,2,4,1,0,0,0,1,0,1,1,0,0,0,1,2,0,0,0,6,2,4,2,1,1,2,2
Cell_0261,4,6,7,0,0,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,2,2,3,1,1,2
Cell_0262,1,7,3,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4,2,1,1,0,3,2
Cell_0263,5,7,6,0,0,5,8,3,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,11,5,3,0,0,2,0,2
Cell_0264,8,4,5,0,0,6,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,8,2,4,1,2,1,0,1
Cell_0265,6,8,4,0,0,6,3,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,5,7,4,6,3,2,1,1
Cell_0266,1,2,2,1,0,4,3,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,6,1,1,3,0,2,3,2
Cell_0267,6,2,2,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,4,1,0,0,1,3
Cell_0268,1,3,2,0,0,3,5,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,4,2,1,2,0,1,0
Cell_0269,6,2,1,1,0,0,8,1,0,2,0,1,0,0,0,1,0,0,1,1,0,0,0,1,3,5,3,3,0,2,1
Cell_0270,6,7,5,0,0,2,6,0,0,2,2,1,0,0,0,0,0,1,0,0,0,0,1,7,8,6,3,4,2,6,3
Cell_0271,6,7,6,0,1,6,6,2,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,4,4,5,1,1,0,1,1
Cell_0272,7,7,5,0,1,1,9,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,8,5,2,5,3,2,2,5
Cell_0273,6,5,4,0,0,8,2,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,1,7,0,1,1,1,1,2,5
Cell_0274,2,5,3,0,0,2,1,1,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,1,0,1,4,2
Cell_0275,4,3,10,0,0,10,3,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,5,3,4,4,2,2,1,6
Cell_0276,5,2,3,0,0,5,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2,4,1,3,1,2,3
Cell_0277,7,1,3,0,1,8,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,0,1,0,1,2
Cell_0278,9,7,6,0,0,13,9,0,0,2,1,1,0,1,2,0,0,0,0,1,0,0,1,7,3,5,1,4,1,3,4
Cell_0279,4,6,6,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,3,5,0,4,2,2
Cell_0280,9,10,9,0,0,8,0,8,7,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,1,0,4,4,0,1,4
Cell_0281,1,4,5,0,0,3,0,4,8,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,1,5,3
Cell_0282,3,7,7,2,1,3,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1
Cell_0283,7,10,2,0,0,14,0,5,4,0,1,0,0,1,1,0,3,2,0,0,0,0,0,0,0,1,0,4,1,3,3
Cell_0284,3,8,6,0,0,3,0,4,5,3,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,1,2,1,1,0,3
Cell_0285,3,6,5,0,0,2,0,4,4,1,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,3,0,5,1
Cell_0286,4,3,7,0,2,5,0,6,2,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1
Cell_0287,10,11,9,0,0,5,0,10,2,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,2,0,2,3,0,2,0
Cell_0288,3,5,3,1,0,2,0,3,2,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,2,0,2,1
Cell_0289,4,4,6,1,1,9,0,3,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,3,0,0,2
Cell_0290,5,8,4,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1
Cell_0291,11,1,10,0,0,6,0,4,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,1,2,2,3,3
Cell_0292,10,7,2,0,0,6,0,5,5,0,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,4,1,1,3,4
Cell_0293,10,9,10,0,1,8,0,8,5,1,1,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,2
Cell_0294,4,6,1,0,0,5,0,5,3,0,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,2,1,2,1,2
Cell_0295,1,6,9,0,0,11,0,8,8,0,0,1,0,2,4,0,1,0,0,0,0,0,0,0,0,0,5,3,3,2,2
Cell_0296,3,10,13,1,0,12,0,9,5,2,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,3,4,2
Cell_0297,5,2,3,0,1,2,0,4,8,0,1,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,1,1,1,0,1
Cell_0298,4,8,4,1,3,6,0,4,6,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,3,2,5,3,0
Cell_0299,7,5,7,0,0,3,0,7,5,1,1,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,2,4,2,1,3
Cell_0300,2,7,1,0,0,8,0,3,3,0,1,0,0,0,0,2,2,0,1,1,0,1,0,0,1,0,2,2,3,3,1
Cell_0301,5,5,4,1,0,2,0,1,4,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,2,3,1,0
Cell_0302,6,18,3,1,1,10,0,8,7,0,0,0,0,2,2,1,4,0,3,0,0,0,0,0,1,0,3,3,2,3,3
Cell_0303,3,7,5,1,0,4,0,3,8,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,2,2,2
Cell_0304,2,3,5,0,0,4,0,3,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,3
Cell_0305,8,7,5,1,0,11,0,8,5,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,2,3,2
Cell_0306,5,7,10,0,0,3,0,3,5,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,2,2,2
Cell_0307,1,5,4,0,0,1,0,3,2,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Cell_0308,3,7,1,1,2,2,1,6,4,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,3,2,3,3
Cell_0309,6,4,2,0,0,9,0,3,6,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,3,2,0,3
Cell_0310,4,6,5,1,0,2,0,4,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,4
Cell_0311,5,10,5,0,0,3,0,1,6,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,3
Cell_0312,4,10,2,1,0,9,0,6,7,2,4,0,0,0,0,1,0,0,2,0,1,0,0,1,1,0,7,0,3,0,5
Cell_0313,2,5,8,1,0,5,0,7,7,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,1,4,1,0,1
Cell_0314,7,15,18,1,1,5,0,7,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,3,3,2,1
Cell_0315,2,1,0,0,0,0,0,5,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0
Cell_0316,4,1,5,1,1,1,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,1,2,2
Cell_0317,4,8,11,2,0,4,0,2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,5,3
Cell_0318,8,10,11,0,1,5,0,6,9,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,1,2,3,4
Cell_0319,2,6,5,1,1,4,0,7,4,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,2,1,1,4,4
Cell_0320,3,4,9,0,0,4,0,4,4,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3
Cell_0321,4,9,5,1,0,8,0,10,3,2,4,0,0,1,2,1,2,0,1,0,0,0,1,0,1,1,3,4,2,2,1
Cell_0322,3,6,8,0,1,5,0,8,7,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,3,0,0,3,2
Cell_0323,8,10,8,2,0,3,0,6,5,0,1,1,0,1,2,1,2,1,1,0,0,0,0,0,0,0,1,4,3,4,2
Cell_0324,8,9,5,2,0,8,0,4,5,0,2,0,0,0,3,1,1,0,3,0,0,0,0,0,2,0,1,2,1,4,1
Cell_0325,1,5,3,0,0,3,0,3,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2
Cell_0326,7,4,1,2,0,8,0,16,8,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,2,0,2,1
Cell_0327,6,8,5,1,1,8,0,2,4,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,2,1,4,1,1
Cell_0328,7,10,9,2,1,4,0,4,9,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,2,2,1,1,1
Cell_0329,8,8,10,2,0,11,0,4,9,2,1,0,0,2,1,0,4,0,0,0,0,0,0,0,2,0,4,4,3,2,4
Cell_0330,9,1,6,2,0,5,0,10,5,0,0,0,0,0,2,0,1,0,1,0,0,0,1,0,0,2,0,2,2,3,0
Cell_0331,3,9,4,0,0,6,0,5,4,0,0,0,0,1,2,0,2,0,1,0,0,0,0,0,1,0,0,0,2,2,3
Cell_0332,5,5,3,2,2,3,0,5,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,5,2
Cell_0333,2,11,4,0,1,5,0,5,3,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,2,0,3,2,2,3,2
Cell_0334,8,5,10,2,1,5,0,3,11,0,2,0,0,0,3,0,2,0,2,0,0,0,0,0,0,0,2,2,3,1,2
Cell_0335,9,7,2,0,0,5,0,1,2,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,1,0,2,1,0,3,2
Cell_0336,5,4,2,0,0,4,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,1,0,0,1
Cell_0337,5,7,6,0,0,8,0,3,3,3,2,0,0,0,4,0,2,0,1,0,0,0,0,0,0,0,6,3,1,4,2
Cell_0338,9,12,8,0,1,6,0,5,7,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,1,2,3,1
Cell_0339,6,5,3,1,0,3,0,3,7,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,2,0,0,3,1,0,3
Cell_0340,3,7,8,1,0,7,0,6,8,0,3,0,0,2,2,1,0,2,0,1,1,0,0,0,1,0,1,0,1,1,3
Cell_0341,7,10,14,1,0,8,0,8,5,0,1,0,0,1,2,1,3,0,3,0,0,0,0,0,1,0,4,3,3,2,3
Cell_0342,8,5,3,1,0,2,0,4,6,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,2,1,2,2,2
Cell_0343,10,9,9,2,0,13,0,5,8,0,1,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,4,2,3,2,2
Cell_0344,7,7,5,1,0,5,0,5,6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,3,5,4,0,3
Cell_0345,7,7,4,1,0,1,0,5,3,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,2,0,6,2
Cell_0346,5,10,5,2,1,2,0,4,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,2,1,0,0
Cell_0347,7,6,6,0,0,4,0,5,5,2,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,3,2,2,0
Cell_0348,7,8,6,0,1,6,0,4,1,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,4
Cell_0349,6,5,11,1,1,6,0,7,1,0,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,4,1,2,5,2
Cell_0350,6,8,5,0,0,5,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,1
Cell_0351,5,6,4,0,0,3,0,4,4,0,1,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,5
Cell_0352,6,12,5,1,0,7,0,9,3,1,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,1,3,2,4,0
Cell_0353,8,15,3,3,2,7,0,10,5,2,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,3,3,1,3,0
Cell_0354,4,6,2,0,1,6,0,5,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0
Cell_0355,5,4,3,0,0,11,0,6,4,2,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,1,3,0,3,0,4
Cell_0356,5,4,1,1,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0
Cell_0357,3,3,5,0,0,1,0,1,7,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,1
Cell_0358,5,7,6,0,0,3,0,3,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,1
Cell_0359,10,8,8,0,0,5,0,7,7,0,2,1,0,0,1,2,1,0,1,0,0,0,0,0,3,0,2,4,2,0,7
Cell_0360,5,5,4,1,0,1,0,2,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,2,0,1
Cell_0361,4,6,6,2,0,11,0,3,4,1,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1
Cell_0362,10,9,2,1,0,6,0,13,4,0,2,0,0,0,2,2,2,0,1,0,2,0,0,0,2,0,0,7,0,4,4
Cell_0363,4,10,5,0,0,7,0,5,8,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,0,2,0,1,4,1
Cell_0364,5,4,9,2,0,5,0,9,3,1,0,0,0,0,2,1,0,1,2,0,0,0,0,0,3,0,0,4,1,3,3
Cell_0365,7,2,7,0,0,3,0,4,8,1,0,0,0,0,3,1,2,1,2,0,0,0,0,0,0,0,6,6,2,2,1
Cell_0366,4,1,2,1,0,10,0,6,7,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,3,3,1,2,1,0
Cell_0367,6,7,8,0,0,7,0,5,5,2,2,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,2,0,3,2,0
Cell_0368,4,6,8,1,0,6,0,4,9,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,5,3,0,2
Cell_0369,4,6,0,1,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,4
Cell_0370,1,0,0,1,0,0,1,0,1,8,3,4,9,1,0,0,2,0,0,0,1,1,1,2,1,1,0,3,2,2,1
Cell_0371,0,0,0,1,0,0,0,0,0,5,5,10,7,0,0,0,0,0,0,2,3,0,1,2,0,1,2,4,6,1,0
Cell_0372,0,0,0,0,0,1,1,1,1,14,16,10,9,1,0,0,3,0,0,0,3,2,2,1,3,0,6,5,2,7,3
Cell_0373,1,2,0,0,0,0,2,0,1,5,8,6,7,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2,4,0,2
Cell_0374,0,0,0,0,0,1,0,1,2,1,5,3,8,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3
Cell_0375,0,0,1,0,0,1,1,2,4,3,3,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,2
Cell_0376,0,0,1,0,0,0,1,3,3,9,8,7,8,1,0,0,4,0,0,0,0,0,0,1,0,0,1,6,3,1,3
Cell_0377,0,0,1,3,0,0,0,0,3,11,3,5,8,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,1,1
Cell_0378,1,0,1,1,0,0,0,0,2,4,2,5,8,0,0,0,2,1,0,1,0,0,0,1,0,0,3,1,1,2,1
Cell_0379,0,0,1,0,0,0,4,0,2,8,8,7,5,1,0,0,1,0,0,0,0,0,0,1,1,0,1,3,1,0,2
Cell_0380,0,2,0,0,0,0,0,0,0,6,8,6,12,0,0,0,5,0,0,0,1,1,0,2,2,1,6,3,2,5,3
Cell_0381,0,1,0,0,0,0,1,1,0,5,5,6,8,0,0,0,1,0,0,0,0,0,0,1,0,0,2,4,0,1,1
Cell_0382,0,0,2,0,0,1,0,1,1,10,4,3,9,1,0,0,0,0,0,0,1,0,0,0,0,1,2,1,0,1,0
Cell_0383,0,0,0,0,0,0,2,0,1,13,7,8,10,0,0,0,0,0,0,0,2,0,0,2,2,1,2,4,1,3,2
Cell_0384,0,0,0,0,0,0,1,1,1,10,6,5,7,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,2,0,0
Cell_0385,0,0,0,0,0,0,1,0,0,2,7,5,2,0,0,0,3,0,0,0,2,0,0,2,0,0,3,2,1,3,0
Cell_0386,0,0,1,0,0,0,1,1,3,4,9,5,6,0,0,0,1,0,0,0,0,0,0,1,0,1,2,3,2,2,3
Cell_0387,0,0,0,0,0,0,1,0,1,4,6,7,6,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,3,2,3
Cell_0388,0,0,0,0,0,0,2,0,1,8,5,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,4
Cell_0389,1,0,0,0,0,0,3,0,0,13,7,7,11,0,0,1,2,0,0,0,1,0,0,2,0,1,3,2,1,2,3
Cell_0390,0,0,0,0,0,1,0,0,1,4,5,5,8,1,0,0,1,0,0,1,0,0,0,0,2,1,0,1,1,0,2
Cell_0391,0,0,0,1,0,0,1,1,0,5,7,4,6,0,1,0,0,0,0,0,0,1,1,2,1,0,3,2,1,0,1
Cell_0392,0,0,0,0,0,0,0,1,2,4,5,7,5,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2
Cell_0393,1,0,0,0,0,0,0,0,1,1,7,9,8,0,0,0,1,0,0,0,0,0,0,1,1,1,4,3,1,2,3
Cell_0394,0,0,0,0,0,0,1,2,1,6,3,4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,1,0,0
Cell_0395,0,1,0,0,0,0,0,0,3,3,12,7,9,0,1,0,0,0,0,0,1,0,1,2,1,1,2,2,0,3,5
Cell_0396,0,0,0,0,0,1,0,0,0,4,10,8,6,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,2,2,0
Cell_0397,0,0,0,0,1,0,3,0,0,5,7,7,5,0,0,0,1,0,0,0,0,0,0,2,1,2,1,1,4,3,2
